SchoolID,SchoolName,LowestGrade,HighestGrade,Address,City,State,Zip5,County,Phone,SchoolDays,HoursInSchoolDay,HasLibrary,PreSchoolEnrollment,KindergartenEnrollment,Grade1Enrollment,Grade2Enrollment,Grade3Enrollment,Grade4Enrollment,Grade5Enrollment,Grade6Enrollment,Grade7Enrollment,Grade8Enrollment,Grade9Enrollment,Grade10Enrollment,Grade11Enrollment,Grade12Enrollment,TotalEnrollment,FullTimeTeacherCount,StudentTeacherRatio
A0509229,ALL SAINTS CATHOLIC ACADEMY,2,13,1155 AURORA AVE,NAPERVILLE,IL,60540,DUPAGE,6309616125,176,7.5,Yes,38,20,24,35,43,43,55,63,45,71,,,,,437,32.4,12.31
00347133,ALLEMAN HIGH SCHOOL,14,17,1103 40TH ST,ROCK ISLAND,IL,61201,ROCK ISLAND,3097867793,176,6.25,Yes,,,,,,,,,,,118,105,106,106,435,28.9,15.05
00344085,ALPHONSUS ACADEMY & CENTER FOR THE ARTS,2,13,1439 W WELLINGTON AVE,CHICAGO,IL,60657,COOK,7733484629,180,7,Yes,96,53,47,47,42,41,43,26,40,46,,,,,481,29.4,13.09
A0901411,ALPINE ACADEMY,2,11,5001 FOREST VIEW AVE,ROCKFORD,IL,61108,WINNEBAGO,8152278894,176,7,Yes,34,16,5,4,6,11,8,4,,,,,,,88,6.5,8.3
A0103041,ALTA VISTA MONTESSORI SCHOOL,2,3,1850 W WINCHESTER RD STE 201,LIBERTYVILLE,IL,60048,LAKE,8479181621,176,6.25,No,80,10,,,,,,,,,,,,,90,2,5
00350587,ALTAMONT LUTHERAN INTERPARISH SCHOOL,3,13,7 S EDWARDS ST,ALTAMONT,IL,62411,EFFINGHAM,6184836428,174,7,Yes,,25,14,24,19,15,20,23,13,19,,,,,172,11.5,14.95
A0301319,ALTERNATIVE ACADEMIC ACHIEVEMENT ACADEMY,6,13,13801 CHATHAM ST,BLUE ISLAND,IL,60406,COOK,7082060000,176,6,Yes,,,5,2,3,6,10,7,10,12,,,,,55,15,3.66
00345748,ALTHOFF CATHOLIC HIGH SCHOOL,14,17,5401 W MAIN ST,BELLEVILLE,IL,62226,ST. CLAIR,6182351100,176,6.75,Yes,,,,,,,,,,,81,100,83,116,380,28.3,13.42
A1390161,ALTUS ACADEMY,7,13,751 S SACRAMENTO BLVD,CHICAGO,IL,60612,COOK,3213743148,188,6.66,Yes,,,,2,5,8,6,6,10,10,,,,,47,6.3,7.46
A1301247,AMERICAN SCHOOL,11,17,2200 E 170TH ST,LANSING,IL,60438,COOK,7084182800,240,7,No,,,,,,,,642,657,683,665,423,470,285,3825,48.6,78.7
00349276,ANCONA SCHOOL,2,13,4770 S DORCHESTER AVE,CHICAGO,IL,60615,COOK,7739248905,180,7,Yes,40,26,18,24,23,19,17,22,17,16,,,,,222,28.9,6.29
00341277,ANNUNCIATA SCHOOL,3,13,3750 E 112TH ST,CHICAGO,IL,60617,COOK,7733755711,180,7,Yes,,20,13,13,13,19,17,15,28,14,,,,,152,9,16.88
00347993,ANNUNCIATION OF THE BVM SCHOOL,2,13,1840 CHURCH RD,AURORA,IL,60505,KANE,6308514300,176,6,Yes,18,16,26,24,29,20,21,28,25,25,,,,,232,10.6,20.18
00347949,AQUIN CATHOLIC JR SR HIGH SCHOOL,2,17,1419 S GALENA AVE,FREEPORT,IL,61032,STEPHENSON,8152353154,176,7.31,Yes,17,7,16,9,7,13,14,19,22,20,26,27,21,29,247,25.3,9.09
00347938,AQUIN ELEMENTARY SCHOOL,2,11,202 W PLEASANT ST,FREEPORT,IL,61032,STEPHENSON,8152326416,180,7,Yes,14,8,15,9,6,14,13,19,,,,,,,98,11.3,7.43
A0501506,ARLINGTON MONTESSORI SCHOOL,2,5,2025 S GOEBBERT RD,ARLINGTON HEIGHTS,IL,60005,COOK,8472224267,177,6.5,No,17,12,,,,,,,,,,,,,29,1.8,6.66
A9102320,ARLYN DAY SCHOOL,11,17,2789 OAK ST,HIGHLAND PARK,IL,60035,LAKE,8472567117,200,6,Yes,,,,,,,,6,5,6,7,6,2,9,41,8.5,4.82
00341947,ASCENSION ELEMENTARY SCHOOL,2,13,601 VAN BUREN ST,OAK PARK,IL,60304,COOK,7083867282,178,7,Yes,73,38,30,29,35,47,44,47,46,48,,,,,437,25,14.56
A0103123,ATONEMENT CHRISTIAN DAY SCHOOL,2,4,909 E MAIN ST,BARRINGTON,IL,60010,COOK,8473826360,156,6.75,Yes,144,18,,,,,,,,,,,,,162,2,9
A1701440,ATT-P TACH SPECIAL EDUCATION PROG,3,13,3531 MADISON ST,SKOKIE,IL,60076,COOK,7739732828,182,4.13,Yes,,8,2,4,4,5,4,2,4,2,,,,,35,8.5,4.11
00348002,AURORA CENTRAL CATHOLIC HIGH SCHOOL,14,17,1255 N EDGELAWN DR,AURORA,IL,60506,KANE,6309070095,180,6.83,Yes,,,,,,,,,,,150,150,150,125,575,38.1,15.09
A0304061,AURORA MONTESSORI SCHOOL,2,3,3180 N AURORA RD,AURORA,IL,60502,DUPAGE,6308984346,180,7,No,125,15,,,,,,,,,,,,,140,7,2.14
BB161090,AUSOME ACADEMY,1,1,403 KAYS DR,NORMAL,IL,61761,MCLEAN,3096625050,,7,No,,,,,,,,,,,,,,,1,1,1
A1100973,AUSTIN CAREER EDUCATION CENTER,15,17,5352 W CHICAGO AVE,CHICAGO,IL,60651,COOK,7736266988,181,6.16,No,,,,,,,,,,,,12,18,116,146,4.9,29.79
02024267,AVERY COONLEY SCHOOL,2,13,1400 MAPLE AVE,DOWNERS GROVE,IL,60515,DUPAGE,6309690800,170,7.16,Yes,62,27,22,33,36,35,36,36,33,26,,,,,346,34.3,8.27
00352584,BAKER DEMONSTRATION SCHOOL,2,13,201 SHERIDAN RD,WILMETTE,IL,60091,COOK,8474255800,170,6,Yes,50,24,19,21,24,29,31,29,26,31,,,,,284,28.4,8.23
A1501543,BEACON ACADEMY,14,17,1574 SHERMAN AVE,EVANSTON,IL,60201,COOK,2249991177,170,6.5,No,,,,,,,,,,,47,48,37,43,175,18.9,9.25
A9102327,BEAR CREEK SCHOOL,6,13,437 E COUNTY ROAD 700 N,TUSCOLA,IL,61953,DOUGLAS,2175782259,165,5.5,Yes,,,2,6,3,4,6,3,6,4,,,,,34,2,17
A9102328,BEARDSTOWN CHRISTIAN ACADEMY,2,15,1421 BEARD ST,BEARDSTOWN,IL,62618,CASS,2173231685,185,6.91,Yes,15,7,15,13,12,4,11,9,10,8,9,5,,,118,11.5,8.95
01610321,BEREAN BAPTIST CHRISTIAN SCHOOL,2,17,5626 SAFFORD RD,ROCKFORD,IL,61101,WINNEBAGO,8159624841,176,7.25,Yes,30,20,9,14,14,19,19,14,16,10,11,11,8,7,202,14.9,11.54
00352325,BEREAN CHRISTIAN SCHOOL,2,17,5100 N ILLINOIS ST,FAIRVIEW HEIGHTS,IL,62208,ST. CLAIR,6188250609,176,7,No,12,12,8,5,6,4,3,1,1,2,2,,2,2,60,3.3,14.54
00352256,BERNARD ZELL ANSHE EMET DAY SCHOOL,2,13,3751 N BROADWAY ST,CHICAGO,IL,60613,COOK,7732811858,167,6.5,Yes,73,54,55,60,58,50,51,46,53,41,,,,,541,78.8,5.93
A1701444,BETEL CHRISTIAN SCHOOL,2,17,1315 W LAKE ST,BARTLETT,IL,60103,COOK,6307367300,170,7,No,5,2,10,4,5,7,8,4,8,5,8,6,5,3,80,6,12.5
00349902,BETHANY LUTHERAN CHURCH AND SCHOOL,2,13,1550 MODAFF RD,NAPERVILLE,IL,60565,DUPAGE,6303556607,172,6.83,Yes,88,24,10,13,12,18,18,15,18,13,,,,,229,10.5,13.42
02024915,BETHEL CHRISTIAN ACADEMY,3,17,1417 HERBERT ST,SOUTH ROXANA,IL,62087,MADISON,6182540188,180,7,Yes,,1,3,3,2,,3,1,2,3,,3,3,7,31,6.8,4.55
A1592063,BETHEL LUTHERAN SCHOOL,2,13,325 E QUEENWOOD RD,MORTON,IL,61550,TAZEWELL,3092666592,180,6,Yes,149,65,23,25,25,22,20,19,17,10,,,,,375,13.1,17.25
A0971037,BETHLEHEM LUTHERAN CHILD DEVELOPMENT CENTER,2,3,340 GRAND BLVD,ELGIN,IL,60120,KANE,8477417743,180,6,No,31,3,,,,,,,,,,,,,34,1,3
BB941487,BEVERLY MONTESSORI SCHOOL,2,3,9916 S WALDEN PKWY,CHICAGO,IL,60643,COOK,7732397635,175,6.75,No,55,15,,,,,,,,,,,,,70,3.6,4.16
A0103046,BIBLE BAPTIST CHRISTIAN ACADEMY,3,11,1701 PAPOOSE RD,CARPENTERSVILLE,IL,60110,KANE,8474280870,176,7,No,,1,,,,,,1,,,,,,,2,2,1
00348851,BLESSED SACRAMENT,2,13,748 W LAUREL ST,SPRINGFIELD,IL,62704,SANGAMON,2175227534,176,7,Yes,20,55,53,48,59,50,46,60,56,55,,,,,502,22.6,21.32
00348465,BLESSED SACRAMENT CATHOLIC SCHOOL,2,13,1115 S 7TH ST,QUINCY,IL,62301,ADAMS,2172281477,176,7.25,Yes,37,21,31,20,24,24,26,19,15,19,,,,,236,10,19.9
00345737,BLESSED SACRAMENT SCHOOL,2,13,8809 W MAIN ST,BELLEVILLE,IL,62223,ST. CLAIR,6183971111,176,7,Yes,71,22,13,19,15,19,25,22,22,25,,,,,253,14.6,12.46
00347257,BLESSED SACRAMENT SCHOOL,2,13,233 E GREENWOOD ST,MORTON,IL,61550,TAZEWELL,3092638442,174,6.83,Yes,45,25,23,19,24,21,22,22,19,15,,,,,235,16.1,11.8
A0103047,BLUE CAP SCHOOL,9,17,1962 BROADWAY ST,BLUE ISLAND,IL,60406,COOK,7083898137,179,5.5,Yes,,,,,,1,,2,,,1,,,4,8,1,8
BB060792,BNOS RABBEINU HIGH SCHOOL,14,16,6237 N WHIPPLE ST,CHICAGO,IL,60659,COOK,7739657770,170,7,No,,,,,,,,,,,2,2,3,,7,3,2.33
A9706193,BOBBIE NOONAN'S CHILD CARE,3,3,2504 FAIRWAY DR,JOLIET,IL,60435,WILL,8157412627,195,5.5,No,,9,,,,,,,,,,,,,9,1,9
A0301324,BOBBIE NOONAN'S CHILD CARE,2,3,13230 W CEDAR CREEK CT,HOMER GLEN,IL,60491,WILL,7083013939,192,10,No,115,5,,,,,,,,,,,,,120,11.3,0.44
A0103048,BOBBIE NOONANS CHILD CARE,2,3,10155 S ROBERTS RD,PALOS HILLS,IL,60465,COOK,7085990101,198,6,No,58,17,,,,,,,,,,,,,112,1,54
BB941502,BOBBIE NOONANS CHILD CARE,-1,-1,8717 W LINCOLN HWY,FRANKFORT,IL,60423,WILL,8154692627,200,5.5,No,34,3,,,,,,,,,,,,,,1,
A9706194,BOBBIE NOONANS CHILD CARE CENTER,2,3,947 E DIVISION ST,LOCKPORT,IL,60441,WILL,8158382855,182,6.75,No,79,9,,,,,,,,,,,,,88,1,9
A9706196,BOBBIE NOONANS CHILD CARE CENTER,3,3,4951 W 115TH ST,ALSIP,IL,60803,COOK,7083852288,200,3,No,,8,,,,,,,,,,,,,8,1,8
00344948,BR RICE HIGH SCHOOL,14,17,10001 S PULASKI RD,CHICAGO,IL,60655,COOK,7734294300,176,8,Yes,,,,,,,,,,,193,154,190,161,698,57.3,12.18
AA000156,BREHM PREPARATORY SCHOOL,13,17,950 S BREHM LN,CARBONDALE,IL,62901,JACKSON,6184579156,176,6.5,Yes,,,,,,,,,,3,11,10,17,28,69,20.1,3.43
AA000162,BRICKTON MONTESSORI SCHOOL,2,13,8622 W CATALPA AVE,CHICAGO,IL,60656,COOK,7737140646,209,7,Yes,14,53,12,8,7,5,4,4,8,4,,,,,119,6,17.5
A9901746,BRIDGEPORT CATHOLIC ACADEMY,2,13,3700 S LOWE AVE,CHICAGO,IL,60609,COOK,7733766223,181,6.91,Yes,43,29,28,19,26,24,24,22,17,21,,,,,253,13.5,15.55
K9302070,BRIDGES ACADEMY,6,10,1713 HOWARD ST,SAINT CHARLES,IL,60174,KANE,6305131686,181,6.5,Yes,,,7,9,8,4,9,,,,,,,,37,3,12.33
BB940921,BRIGHT HORIZONS,2,3,3523 N KENNICOTT AVE,ARLINGTON HEIGHTS,IL,60004,COOK,8473987004,252,4.25,No,40,20,,,,,,,,,,,,,60,2,10
A1370657,BRIGHT HORIZONS,2,3,21955 W FIELD PKWY,DEER PARK,IL,60010,LAKE,8477192070,252,6.5,No,50,10,,,,,,,,,,,,,60,1,10
A1370659,BRIGHT HORIZONS,2,3,1020 S HUNT CLUB DR,MOUNT PROSPECT,IL,60056,COOK,8479566222,252,6.5,No,15,10,,,,,,,,,,,,,25,1,10
A0507496,BRIGHT HORIZONS CHILD CARE & EARLY EDUCATION,2,4,3400 LACEY RD,DOWNERS GROVE,IL,60515,DUPAGE,6308520250,,,No,20,12,,,,,,,,,,,,,32,3,4
A0501514,"BRITISH INTERNATIONAL SCHOOL OF CHICAGO, LINCOLN P",2,10,814 W EASTMAN ST,CHICAGO,IL,60642,COOK,7739075000,177,9,Yes,147,75,83,57,55,67,42,,,,,,,,526,46,8.23
BB940884,BUFFALO GROVE MONTESSORI SCHOOL,2,3,950 ELLEN DR,BUFFALO GROVE,IL,60089,COOK,8475418111,179,10,Yes,47,21,,,,,,,,,,,,,68,6,3.5
00354559,CALVARY ACADEMY,2,17,1730 W JEFFERSON ST,SPRINGFIELD,IL,62702,SANGAMON,2175465987,177,6.66,No,39,18,23,13,12,21,22,26,25,24,24,21,28,17,313,18.5,14.81
01647828,CALVARY ACADEMY,2,13,16300 STATE ST,SOUTH HOLLAND,IL,60473,COOK,7083335471,178,6.33,Yes,75,44,29,31,23,27,43,28,29,30,,,,,359,23.1,12.29
02025511,CALVARY BAPTIST ACADEMY,2,17,1028 W CLOVERDALE RD,CHILLICOTHE,IL,61523,PEORIA,3092744343,165,7.08,Yes,3,2,7,4,3,3,6,3,7,2,2,2,,3,47,7.8,5.64
AA890293,CALVARY BAPTIST ACADEMY,6,8,423 LUCINDA AVE,BELLEVILLE,IL,62221,ST. CLAIR,6182343620,180,6,Yes,,,1,,1,,,,,,,,,,2,2,1
00352019,CALVIN CHRISTIAN SCHOOL,2,13,528 E 161ST PL,SOUTH HOLLAND,IL,60473,COOK,7083315027,173,6.75,Yes,28,22,22,21,25,26,23,26,25,18,,,,,236,13.3,15.63
BB060761,CAMBRIDGE SCHOOL OF CHICAGO,2,11,1014 E 47TH ST,CHICAGO,IL,60653,COOK,7739241200,180,7.25,Yes,17,11,11,10,4,8,10,7,,,,,,,78,6,10.16
A0103173,CAMELOT-NWCA,6,17,509 OAK ST,DEKALB,IL,60115,DEKALB,8157874144,183,6,Yes,,,3,8,4,7,5,6,9,9,10,8,6,10,85,11,7.72
A0509230,CAMPUS MIDDLE SCHOOL FOR GIRLS,11,13,108 S WEBBER ST,URBANA,IL,61802,CHAMPAIGN,2173448279,171,7.08,No,,,,,,,,21,14,9,,,,,44,3.1,14.19
00352427,CARBONDALE NEW SCHOOL,2,13,1302 E PLEASANT HILL RD,CARBONDALE,IL,62902,JACKSON,6184574765,170,7.5,No,12,1,8,3,3,1,1,1,2,2,,,,,34,6,3.66
BB020968,CARDINAL BERNARDIN EARLY CHILDHOOD CENTER,2,8,1651 W DIVERSEY PKWY,CHICAGO,IL,60614,COOK,7739756330,180,7,Yes,139,9,8,4,3,,,,,,,,,,163,8.3,2.89
BB020951,CARDINAL JOSEPH BERNARDIN CATHOLIC SCHOOL,2,13,9250 W 167TH ST,ORLAND HILLS,IL,60487,COOK,7084036525,180,5.83,Yes,78,53,49,47,70,66,70,41,72,52,,,,,598,28.3,18.37
BB100594,CARE FOR KIDS,2,3,670 N MILWAUKEE AVE,PROSPECT HEIGHTS,IL,60070,COOK,8475200370,240,6.5,Yes,20,20,,,,,,,,,,,,,40,1,20
00341754,CARMEL CATHOLIC HIGH SCHOOL,14,17,1 CARMEL PKWY,MUNDELEIN,IL,60060,LAKE,8475663000,171,5.91,Yes,,,,,,,,,,,301,329,343,345,1318,80.9,16.29
A9102344,CARMEL MONTESSORI ACADEMY & CHILDREN'S HOUSE,1,1,3S238 STATE ROUTE 59,WARRENVILLE,IL,60555,DUPAGE,6303932995,179,7.83,No,,,,,,,,,,,,,,,29,6.6,4.39
A1701451,CARRA ACADEMY,2,17,17504 E CARRIAGEWAY DR,HAZEL CREST,IL,60429,COOK,7089144456,176,5.75,Yes,6,7,,,,,,,,,5,5,6,9,38,5,6.4
A1501545,CARRIERS OF LIGHT,2,11,PO BOX 6072,GLENDALE HEIGHTS,IL,60139,DUPAGE,6304741265,176,7.25,No,14,13,12,7,6,13,13,8,,,,,,,86,14.6,4.93
A0901419,CATHEDRAL BAPTIST SCHOOL,2,17,5622 35TH ST,ROCKFORD,IL,61109,WINNEBAGO,8158743883,170,7.25,Yes,17,14,11,15,7,9,10,16,6,10,6,13,5,4,143,12.3,10.24
00346628,CATHEDRAL OF ST RAYMOND SCHOOL,2,13,608 N RAYNOR AVE,JOLIET,IL,60435,WILL,8157226626,176,6.33,Yes,52,49,37,33,51,26,32,45,36,55,,,,,416,23.3,15.62
00348487,CATHEDRAL SCHOOL,2,13,815 S 6TH ST,SPRINGFIELD,IL,62703,SANGAMON,2175232652,176,6.25,Yes,29,15,16,14,11,11,9,17,24,13,,,,,159,15.6,8.33
00352482,CDS-MELVIN J LARSON EDUCATION CENTER,2,17,311 S REED ST,JOLIET,IL,60436,WILL,8157443500,220,5,Yes,2,1,4,2,2,4,4,4,2,1,3,3,,12,44,5,8.4
A1370664,CDW AT PLAY CHILD CARE CENTER,2,3,165 LAKEVIEW PKWY,VERNON HILLS,IL,60061,LAKE,8474653431,175,7,Yes,140,5,,,,,,,,,,,,,145,2,2.5
A1701455,CENTER FOR CHILDREN TO HEAL AND ACHIEVE (CCHA),9,17,1400 STATE ST,ALTON,IL,62002,MADISON,6184653594,176,7,Yes,,,,,,1,3,2,2,1,1,6,4,3,23,5,4.6
A9303140,CENTERVIEW THERAPEUTIC SCHOOL,3,17,3444 DUNDEE RD,NORTHBROOK,IL,60062,COOK,8475048261,178,6,Yes,,1,,1,2,,1,4,1,2,,3,2,2,19,3,6.33
00346865,CENTRAL CATHOLIC HIGH SCHOOL,14,17,1201 AIRPORT RD,BLOOMINGTON,IL,61704,MCLEAN,3096617000,175,6.66,Yes,,,,,,,,,,,97,75,86,71,329,23.4,14.05
00352493,CHADDOCK,3,17,205 S 24TH ST,QUINCY,IL,62301,ADAMS,2175920323,180,6,Yes,,1,1,3,3,2,4,7,7,15,12,10,16,12,93,16.8,5.53
A1301260,CHANCE AFTER CHANCE COLLEGE PREPARATORY,2,3,305 N CICERO AVE # 9,CHICAGO,IL,60644,COOK,7738508689,223,8,No,20,1,,,,,,,,,,,,,21,2,0.5
A1701457,CHARIS CHRISTIAN ACADEMY,6,17,7700 N COUNTY ROAD 1200E,CHARLESTON,IL,61920,COLES,2175122311,175,7,Yes,,,1,2,1,2,1,2,4,,2,1,2,1,19,2.4,7.91
AA890298,CHEDER LUBAVITCH HEBREW DAY SCHOOL,2,13,5201 HOWARD ST,SKOKIE,IL,60077,COOK,8476756777,190,7.5,Yes,34,42,35,33,29,31,26,29,33,20,,,,,312,37.3,7.45
BB060783,CHEDER LUBAVITCH HEBREW DAY SCHOOL,3,13,2809 W JARVIS AVE,CHICAGO,IL,60645,COOK,7734650863,176,7.5,Yes,,19,18,15,8,12,10,12,15,13,,,,,122,22.8,5.35
A9706202,CHESTERBROOK ACADEMY,2,3,212 N WILLIAMSBURG DR,BLOOMINGTON,IL,61704,MCLEAN,3096620803,,8,Yes,15,10,,,,,,,,,,,,,25,2,5
A1592064,CHESTERBROOK ACADEMY,2,3,1450 QUINCY BRIDGE RD,BARTLETT,IL,60103,DUPAGE,6302137200,190,7,No,40,8,,,,,,,,,,,,,48,1,8
A1592069,CHESTERBROOK ACADEMY,3,9,1571 OSWEGO RD,NAPERVILLE,IL,60540,DUPAGE,6305270833,180,7,Yes,,26,20,7,12,8,,,,,,,,,73,12,6.08
A1100975,CHESTERBROOK ACADEMY,2,4,2001 S OAK ST STE A,CHAMPAIGN,IL,61820,CHAMPAIGN,2173444863,251,9,No,135,31,,,,,,,,,,,,,166,1,31
A0501518,CHESTERBROOK ACADEMY ELEMENTARY SCHOOL,3,9,1571 OSWEGO RD,NAPERVILLE,IL,60540,DUPAGE,6305270833,180,7,Yes,,25,20,7,12,9,,,,,,,,,73,12,6.08
A0507510,CHESTERFIELD TOM THUMB DAYCARE CENTER,2,3,9214 S COTTAGE GROVE AVE,CHICAGO,IL,60619,COOK,7738743985,260,8,Yes,20,10,,,,,,,,,,,,,30,4,2.5
BB161008,CHESTERTON ACADEMY OF HOLY FAMILY,14,17,5205 KINGSTON AVENUE,LISLE,IL,60532,DUPAGE,6304421424,178,7.16,,,,,,,,,,,,15,18,20,5,58,,
02024187,CHIARAVALLE MONTESSORI SCHOOL,2,13,425 DEMPSTER ST,EVANSTON,IL,60201,COOK,8478642190,168,6,Yes,141,32,25,19,19,24,21,21,23,18,,,,,343,25.5,7.92
A1701460,CHICAGO FREE SCHOOL,2,13,1100 E HYDE PARK BLVD,CHICAGO,IL,60615,COOK,7735779583,180,6.75,No,13,12,7,8,5,5,5,7,,3,,,,,65,6.5,8
A1100976,CHICAGO FRIENDS SCHOOL,3,11,1246 W THORNDALE AVE,CHICAGO,IL,60660,COOK,7734422371,137,6.5,No,,6,4,9,4,3,4,5,,,,,,,35,4.8,7.29
A1701461,CHICAGO FUTABAKAI JAPANESE SCHOOL,3,14,2550 N ARLINGTON HEIGHTS RD,ARLINGTON HEIGHTS,IL,60004,COOK,8475905700,200,6.83,Yes,,51,22,26,19,14,16,14,9,12,12,,,,195,25.9,7.52
BB060756,CHICAGO GRAMMAR SCHOOL,2,13,900 N FRANKLIN ST STE 104,CHICAGO,IL,60610,COOK,3129445600,164,6.5,Yes,5,5,6,11,4,10,10,12,2,3,,,,,68,10.3,6.11
BB060759,CHICAGO HOPE ACADEMY,14,17,2189 W BOWLER ST,CHICAGO,IL,60612,COOK,3124911600,180,7,Yes,,,,,,,,,,,65,65,55,55,240,22,10.9
A0700824,CHICAGO JESUIT ACADEMY,8,13,5058 W JACKSON BLVD,CHICAGO,IL,60644,COOK,7736386103,178,9.5,Yes,,,,,14,13,24,38,37,21,,,,,147,19.4,7.57
02023864,CHICAGO LIGHTHOUSE,2,17,1850 W ROOSEVELT RD,CHICAGO,IL,60608,COOK,3129973695,219,6.25,Yes,20,,,,,1,,2,1,1,3,,1,4,33,4,3.25
A0700825,CHICAGO MONTESSORI,2,12,1713 W CULLOM AVE,CHICAGO,IL,60613,COOK,7735254358,166,6.75,No,40,18,10,10,12,12,13,14,6,,,,,,135,5.6,16.96
A9706204,CHICAGO SDA ELEMENTARY SCHOOL,2,14,7008 S MICHIGAN AVE,CHICAGO,IL,60637,COOK,7738733005,180,7.25,Yes,3,6,8,4,5,4,4,3,3,1,1,,,,42,4,9.75
A9102358,CHICAGO WALDORF SCHOOL,2,17,1300 W LOYOLA AVE,CHICAGO,IL,60626,COOK,7734652662,168,7.08,Yes,73,25,21,22,18,23,18,25,26,26,20,22,27,25,371,48.5,6.14
